Scholarship URL,Scholarship Title,Provided By,Amount,Deadline,Description
http://www.fastweb.com/college-scholarships/scholarships/37840-multicultural-advancement-award-of-distinction-scholarship-cmu,Multicultural Advancement Award of Distinction Scholarship - CMU,Central Michigan University,"$10,500",Varies,The Multicultural Advancement Award of Distinction Scholarship is open to deserving entering freshmen at Central Michigan University.  You must be a minority student to be eligible for this renewable award.
http://www.fastweb.com/college-scholarships/scholarships/79807-jalen-rose-endowed-scholarship,Jalen Rose Endowed Scholarship,University of Michigan,"$10,000",Varies,"The Jalen Rose Endowed Scholarship is open to entering freshman students at the University of Michigan-Ann Arbor.  Preference is given to students who are Michigan residents, and/or from an inner-city area, and/or from an underrepresented group.  You must demonstrate financial need and academic merit to be eligible for this renewable award."
http://www.fastweb.com/college-scholarships/scholarships/161736-diversity-scholarship,Diversity Scholarship,Adler School of Professional Psychology,"$10,000",Varies,"The Diversity Scholarship is available to entering students at the Adler School of Professional Psychology.  You must demonstrate a commitment to diversity as it relates to your interest in psychology in order to qualify for this award.  Priority is given to applicants who belong to ethnic, racial, religious, cultural, and sexual identity groups that have traditionally been underrepresented populations in the field of psychology."
http://www.fastweb.com/college-scholarships/scholarships/134854-asian-women-in-business-scholarship,Asian Women In Business Scholarship,Asian Women In Business,"$2,500","October 01, 2015","The Asian Women In Business Scholarship is available to female students of Asian or Pacific Islander ancestry.  You must be enrolled full - time in an accredited four - year undergraduate program in the United States; have a minimum 3.0 GPA; and demonstrate leadership, community service, and / or entrepreneurial achievement to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/70839-midwest-chinese-christians-association-mcca-scholarship,Midwest Chinese Christians Association (MCCA) Scholarship,Cedarville University,"$1,500",Varies,"The Midwest Chinese Christians Association (MCCA) Scholarship is available to entering first-year students at Cedarville University.  You must be a member of a Midwest Chinese Christians Association (MCCA) church, have a minimum 3.0 GPA and a minimum 22 ACT score (1050 SAT) to be eligible for this award.  Additionally, demonstrated leadership, service involvement, and financial need are also required."
http://www.fastweb.com/college-scholarships/scholarships/93777-auber-westphal-scholarship,Auber Westphal Scholarship,"Union College, Nebraska","$1,400",Varies,"The Auber Westphal Scholarship is open to international students enrolled in the Division of Health Sciences at Union College, Nebraska.  You must have a minimum 3.0 GPA, work on campus throughout the year, and be enrolled full time to qualify for this award.  Preference will be given to students from Southeast Asia and the Orient who are of Junior or Senior standing, however Freshmen and Sophomore students are still eligible."
http://www.fastweb.com/college-scholarships/scholarships/30414-stockton-cathay-club-scholarship,Stockton Cathay Club Scholarship,San Joaquin Delta College,$500,Varies,"The Stockton Cathay Club Scholarship is open to Chinese-American students at San Joaquin Delta College who have been residents of San Joaquin County for at least five years.  You must have completed 30 units with at least a 3.0 GPA, demonstrate leadership abilities and participate in both college and community activities to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/30354-elizabeth-m-humbargar-memorial-scholarship,Elizabeth M. Humbargar Memorial Scholarship,San Joaquin Delta College,$500,Varies,"The Elizabeth M. Humbargar Memorial, Japanese American Citizen League Scholarship is open to a foreign student of Asian descent who is an associate's degree candidate at San Joaquin Delta College.  You must be transferring to a four-year institution and have a minimum 3.0 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/9130-mike-and-amy-shane-scholarship,Mike and Amy Shane Scholarship,Cedarville University,Varies,Varies,"The Mike and Amy Shane Scholarship is available to students at Cedarville University.  You must either be a member in good standing at the Calvary Bible Church in Bakersfield, CA or an employee of the grantors (including immediate family) to be eligible for this award.  Additionally, citizens of the People's Republic of China also may apply."
http://www.fastweb.com/college-scholarships/scholarships/56089-chiang-kai-shek-scholarship,Chiang Kai-Shek Scholarship,Pepperdine University - Graduate School of Education and Psychology,Varies,Varies,The Chiang Kai-Shek Scholarship is available to doctoral students at the Graduate School of Education and Psychology at Pepperdine University.  You must be majoring in education and be from the Republic of China to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/30352-ock-sam-huey-memorial-scholarship,Ock Sam Huey Memorial Scholarship,San Joaquin Delta College,Varies,Varies,"The Ock Sam Huey Memorial, Chinese Cultural Society of Stockton Scholarship is open to full-time sophomores at San Joaquin Delta College who are of Chinese descent.  You must transfer to a four-year institution in the fall, participate in community service and submit two letters of recommendation and a short biography to be eligible for this award.  A minimum 3.2 GPA at the end of your third semester is also required."
http://www.fastweb.com/college-scholarships/scholarships/92402-major-tsai-award-in-chinese-studies,Major Tsai Award in Chinese Studies,"California State University, Los Angeles",Varies,Varies,"The Major Tsai Award in Chinese Studies is available to students at California State University, Los Angeles.  You must have completed at least 12 units in Chinese language and literature and have a minimum 3.0 GPA (overall and in Chinese courses) to be eligible for this award.  Preference is given to students who are involved in extracurricular activities related to Chinese culture."
http://www.fastweb.com/college-scholarships/scholarships/21341-asian-american-college-of-pharmacy-alumni-scholarship,Asian American College of Pharmacy Alumni Scholarship,Idaho State University,Varies,Varies,The Asian American College of Pharmacy Alumni Scholarship is open to pharmacy majors of Chinese ancestry at Idaho State University.
http://www.fastweb.com/college-scholarships/scholarships/134854-asian-women-in-business-scholarship,Asian Women In Business Scholarship,Asian Women In Business,"$2,500","October 01, 2015","The Asian Women In Business Scholarship is available to female students of Asian or Pacific Islander ancestry.  You must be enrolled full - time in an accredited four - year undergraduate program in the United States; have a minimum 3.0 GPA; and demonstrate leadership, community service, and / or entrepreneurial achievement to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/93777-auber-westphal-scholarship,Auber Westphal Scholarship,"Union College, Nebraska","$1,400",Varies,"The Auber Westphal Scholarship is open to international students enrolled in the Division of Health Sciences at Union College, Nebraska.  You must have a minimum 3.0 GPA, work on campus throughout the year, and be enrolled full time to qualify for this award.  Preference will be given to students from Southeast Asia and the Orient who are of Junior or Senior standing, however Freshmen and Sophomore students are still eligible."
http://www.fastweb.com/college-scholarships/scholarships/154446-hispanic-heritage-youth-award,Hispanic Heritage Youth Award,Hispanic Heritage Foundation,"$1,000","September 15, 2015","The Hispanic Heritage Youth Award is available to high school juniors of Hispanic / Latino descent.  You must have a minimum 3.0 GPA to be eligible for this award.  You or one of your parents must be able to directly trace your ancestry to Latin America, Spain, Portugal, Brazil, the Spanish speaking Caribbean, or the Philippines."
http://www.fastweb.com/college-scholarships/scholarships/102066-reverend-juan-callao-scholarship,Reverend Juan Callao Scholarship,Boise State University - General Scholarships,$650,Varies,"The Reverend Juan Callao Scholarship is open to full-time, Filipino-American students at Boise State University.  To be considered for this award, you must have a minimum 3.0 GPA."
http://www.fastweb.com/college-scholarships/scholarships/30411-dr-and-mrs-david-a-stadtner-scholarship,Dr. and Mrs. David A. Stadtner Scholarship,San Joaquin Delta College,$500,Varies,"The Dr. and Mrs. David A. Stadtner Scholarship is open to continuing or transferring students at San Joaquin Delta College.  To be eligible for the award, you must be Japanese or Southeast Asian and have a minimum 3.0 GPA."
http://www.fastweb.com/college-scholarships/scholarships/30354-elizabeth-m-humbargar-memorial-scholarship,Elizabeth M. Humbargar Memorial Scholarship,San Joaquin Delta College,$500,Varies,"The Elizabeth M. Humbargar Memorial, Japanese American Citizen League Scholarship is open to a foreign student of Asian descent who is an associate's degree candidate at San Joaquin Delta College.  You must be transferring to a four-year institution and have a minimum 3.0 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/102065-marta-callao-scholarship,Marta Callao Scholarship,Boise State University - General Scholarships,$100,Varies,"The Marta Callao Scholarship is open to full-time, Filipino-American students at Boise State University.  To be considered for this award, you must have a minimum 3.0 GPA."
http://www.fastweb.com/college-scholarships/scholarships/29518-dian-and-andy-lopez-scholarship,Dian and Andy Lopez Scholarship,"University of Minnesota, Morris",Varies,Varies,"The Dian and Andy Lopez Scholarship is available to third- year computer science majors at the University of Minnesota, Morris.  You must have a minimum GPA of 3.0 to be eligible for this award.  Preference is given to students of color, female students and international students of color."
http://www.fastweb.com/college-scholarships/scholarships/152492-coastal-bend-fil-am-scholarship,Coastal Bend Fil-Am Scholarship,Coastal Bend Community Foundation,Varies,"March 01, 2016",The Coastal Bend Fil-Am Scholarship is available to graduating seniors in the Coastal Bend area.  You must have a minimum GPA of 3.0 on a 4.0 scale or 90% on a 100% scale to be eligible for this award.  Preference is given to students of Filipino heritage.
http://www.fastweb.com/college-scholarships/scholarships/39783-filipino-american-scholarship,Filipino - American Scholarship,University of New Mexico,Varies,Varies,"The Filipino - American Scholarship is awarded to full-time students at the University of New Mexico.  You must be an active member of the FAANM, be at least one-quarter Filipino and demonstrate financial need to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/142413-deborah-and-klaus-h-jander-scholarship,Deborah and Klaus H. Jander Scholarship,Cornell University Law School,Varies,Varies,"The Deborah and Klaus H. Jander Scholarship is open to students at Cornell University, School of Law.  You must demonstrate academic need and financial merit to be eligible for this award.  Preference is given to first- generation German students."
http://www.fastweb.com/college-scholarships/scholarships/92724-urda-traenkle-memorial-scholarship,Urda Traenkle Memorial Scholarship,Ohio University,Varies,Varies,The Urda Traenkle Memorial Scholarship is available to students at Ohio University.  First preference will be given to international students from Germany or Austria.  Second preference will be given to U.S. students who are majoring in German or planning to study German in Germany or Austria.  You must be recommended by the Office of International Student and Faculty Services and the Department of Modern Languages.
http://www.fastweb.com/college-scholarships/scholarships/131588-sally-hennan-endowed-scholarship,Sally Hennan Endowed Scholarship,Saint Louis University - General Scholarships,Varies,Varies,The Sally Hennan Endowed Scholarship is available to students attending Saint Louis University.  You must suffer from Epilepsy to be eligible for this award.  Preference is given to students of Irish-American descent.
http://www.fastweb.com/college-scholarships/scholarships/81175-mary-c-reilly-memorial-scholarship,Mary C. Reilly Memorial Scholarship,Providence College,Varies,Varies,The Mary C. Reilly Memorial Scholarship is available to female students at Providence College.  You must be a native of Ireland or of Irish descent to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/40378-elizabeth-reed-annis-endowed-scholarship,Elizabeth Reed Annis Endowed Scholarship,University of Southern California - School of Architecture,Varies,Varies,"The Elizabeth Reed Annis Endowed Scholarship is available to students in the University of Southern California School of Architecture.  Your ancestry must be of the British Isles, regardless of your birthplace, to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/64814-teegee-scholarship,TeeGee Scholarship,Grayson County College,Varies,Varies,The TeeGee Scholarship is available to students at Grayson County College.  Preference is given to students of Irish Catholic descent with a minimum 2.0 GPA.
http://www.fastweb.com/college-scholarships/scholarships/39590-boland-family-gu-scholarship,Boland Family GU Scholarship,Georgetown University,Varies,Varies,"The Boland Family Scholarship is open to students attending Georgetown University.  You must be enrolled in the school of business, involved in Georgetown student life, be a graduate of a Catholic high school, and demonstrate financial need to be eligible for this award.  Preference is given to students of Irish descent."
http://www.fastweb.com/college-scholarships/scholarships/97228-leo-l-and-alice-p-bottari-scholarship,Leo L. and Alice P. Bottari Scholarship,Suffolk University Law School,Varies,Varies,"The Leo L. and Alice P. Bottari is available to students at Suffolk University, Law School.  You must be from the Greater Boston area and be of Sicilian or Irish descent to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/35308-james-m-brett-scholarship,James M. Brett Scholarship,Siena College,Varies,Varies,"The James M. Brett Scholarship is open to male students at Siena College.  You must be of Irish decent, planning a career in law and demonstrate academic ability and financial need to qualify for this award."
http://www.fastweb.com/college-scholarships/scholarships/99484-james-g-murray-59-memorial-scholarship,James G. Murray 59 Memorial Scholarship,"Saint Peter's College, Annual Scholarships",Varies,Varies,"The James G. Murray 59 Memorial Scholarship is available to entering freshmen at Saint Peter's College.  You must be of Irish descent, be majoring in accounting and be enrolled in the SPCS to qualify for this award."
http://www.fastweb.com/college-scholarships/scholarships/44690-joseph-t-p-sullivan-scholarship,Joseph T.P. Sullivan Scholarship,Fordham University Law School,Varies,Varies,The Joseph T.P. Sullivan Scholarship is open to students at Fordham Law School.  Preference is given to students of Irish descent.
http://www.fastweb.com/college-scholarships/scholarships/10710-honorable-james-r-caruso-pace-law-school-scholarship,Honorable James R. Caruso Pace Law School Scholarship,Pace University School of Law,"$5,000",Varies,"The Honorable James R. Caruso Pace Law School Scholarship is available to students of Italian heritage at Pace University Law School.  You must be a second - year day, or third - year evening student to qualify for this award.  The award is based on first - year scholastic performance and financial need."
http://www.fastweb.com/college-scholarships/scholarships/131089-italian-american-lawyers-association-annual-scholarship,Italian American Lawyers Association Annual Scholarship,Italian American Lawyers Association,"$3,000","September 30, 2015","The Italian American Lawyers Association Annual Scholarship is available to law students from Los Angeles County.  You must demonstrate academic achievement, potential contribution to the Italian- American Community, and financial need to be considered for this award."
http://www.fastweb.com/college-scholarships/scholarships/47055-columbian-foundation-scholarship-seton-hall-law,Columbian Foundation Scholarship - Seton Hall Law,Seton Hall Law School,"$2,000",Varies,The Columbian Foundation Scholarship is open to entering students Seton Hall University Law School.  You must be of Italian descent to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/25083-tarabino-scholarship,Tarabino Scholarship,Trinidad State Junior College,"$1,850","March 04, 2016",The Tarabino Scholarship is available to full-time students enrolled in the liberal arts program at Trinidad State Junior College.  You must have a minimum GPA of 3.0 and submit two letters of recommendation and a personal statement to be eligible for this award.  Preference is given to graduates from Las Animas and Huerfano County high schools and students of Italian American descent who are graduates of Trinidad Catholic High School.
http://www.fastweb.com/college-scholarships/scholarships/148881-italian-american-chamber-of-commerce-midwest-scholarship,Italian American Chamber of Commerce - Midwest Scholarship,Italian American Chamber of Commerce - Midwest,"$1,000","July 31, 2015","The Italian American Chamber of Commerce - Midwest Scholarship is available to full- time undergraduate students of Italian ancestry who are residents of the following Illinois counties: Cook, DuPage, Kane, Lake, Will, and McHenry.  You must have a minimum 3.5 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/347-sarni-family-endowment-scholarship,Sarni Family Endowment Scholarship,University of Rhode Island,Varies,Varies,The Sarni Family Endowment Scholarship is open to first-generation college students at the University of Rhode Island.  You must have at least one Italian parent and demonstrate financial need to be eligible for this award.  This award covers up to one-half tuition.
http://www.fastweb.com/college-scholarships/scholarships/17554-sorgi-t-and-margaret-benizzi-liotti-endowed-scholarship,Sorgi T. and Margaret Benizzi Liotti Endowed Scholarship,Hofstra University,Varies,Varies,"The Sorgi T. and Margaret Benizzi Liotti Endowed Scholarship is open to political science students at Hofstra University.  Preference is given to students of Italian-American descent who are active participants in the ROTC program.  Selection is based on demonstrated need, as well scholastic achievement or potential.  You must have a minimum 3.0 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/115220-vassallo-family-siena-college-scholarship,Vassallo Family Siena College Scholarship,Siena College,Varies,Varies,"The Vassallo Family Siena College Scholarship is available to full-time business majors at Siena College.  You must be a resident of Bergen County, a graduate of a Catholic high school and of Italian-American heritage to qualify for this award.  Participation in extracurricular activities and community service is also a consideration."
http://www.fastweb.com/college-scholarships/scholarships/33987-lundix-and-angela-saverino-scholarship,Lundix and Angela Saverino Scholarship,Fairmont State,Varies,Varies,The Lundix and Angela Saverino Scholarship is open to fine arts and education majors at Fairmont State.  Preference will be given to students of Italian-American heritage.  An essay is required in which you must explain the influence of your heritage and culture on your life.
http://www.fastweb.com/college-scholarships/scholarships/65530-nicholas-m-and-jean-m-nappi-scholarship,Nicholas M. and Jean M. Nappi Scholarship,"University of Maine, Farmington",Varies,Varies,"The Nicholas M. and Jean M. Nappi Scholarship is available to students at the University of Maine, Farmington.  You must have graduated from a Maine high school, rank in the upper 50 percent of your graduating class and be in good academic standing.  Students of Italian descent are encouraged to apply."
http://www.fastweb.com/college-scholarships/scholarships/29640-esther-shiller-memorial-endowment-loan-fund-for-college-loans,Esther Shiller Memorial Endowment Loan Fund for College Loans,Jewish Family and Children's Services,"$6,000",Varies,"The Esther Shiller Memorial Endowment Loan Fund for College Loans is available to Jewish men and women who demonstrate academic promise, financial need and the ability to repay the loans.  You must be able to provide a qualified guarantor (co-signer).  Additionally, you must be a resident of San Francisco, San Mateo, northern Santa Clara, Marin, Sonoma, Alameda or Contra Costa counties in California."
http://www.fastweb.com/college-scholarships/scholarships/29627-anna-and-charles-stockwitz-children-and-youth-fund,Anna and Charles Stockwitz Children and Youth Fund,Jewish Family and Children's Services,"$6,000",Varies,"The purpose of the Anna and Charles Stockwitz Children and Youth Fund is to assist Jewish children and teens with a valuable educational, social, or psychological experience, or to assist them in attending undergraduate school.  The fund provides a maximum amount of $6,000 for a grant, loan or both.  You must reside in San Francisco, Marin, Peninsula or Sonoma counties if applying for a grant, and you must reside in the San Francisco Bay Area to be eligible for a loan.  Deadlines for grants vary; therefore, it is encouraged that you apply early."
http://www.fastweb.com/college-scholarships/scholarships/29643-fogel-loan-fund,Fogel Loan Fund,Jewish Family and Children's Services,"$6,000",Varies,"The Fogel Loan Fund provides loans to Jewish students of all ages for college, university or vocational studies.  You must be able to provide a qualified guarantor (co-signer) to be eligible for this award.  Additionally, you must be a resident of San Francisco, San Mateo, northern Santa Clara, Marin, Sonoma, Alameda or Contra Costa counties in California."
http://www.fastweb.com/college-scholarships/scholarships/29644-harry-and-florence-wornick-endowment-fund,Harry and Florence Wornick Endowment Fund,Jewish Family and Children's Services,"$5,800",Varies,"The Harry and Florence Wornick Endowment Fund provides loan funds to Jewish students for higher education or vocational training, with special consideration to students pursuing careers in the use of wood or careers in music.  You must be able to provide a qualified guarantor (co-signer).  Additionally, you must be a resident of San Francisco, San Mateo, northern Santa Clara, Marin, Sonoma, Alameda or Contra Costa counties in California."
http://www.fastweb.com/college-scholarships/scholarships/111204-hyman-p-moldover-scholarship-for-communal-service,Hyman P. Moldover Scholarship for Communal Service,Jewish Social Service Agency of Metropolitan Washington,"$5,000",Varies,"The Hyman P. Moldover Scholarship for Communal Service is available to Jewish full-time graduate students.  To be eligible, you must a resident of the Washington metro area, be studying Jewish Communal Service in the D.C. area, be a U.S. citizen or be working toward citizenship, and intend to work professionally in the Jewish community upon graduation."
http://www.fastweb.com/college-scholarships/scholarships/23886-vivienne-camp-scholarship,Vivienne Camp Scholarship,Jewish Family and Children's Services,"$4,350",Varies,"The Vivienne Camp Scholarship is awarded to two young Jewish men and two young Jewish women for college or vocational studies at a postsecondary California institution.  You must reside in Marin, San Francisco, San Mateo or Sonoma counties in California.  You must also demonstrate academic achievement and financial need.  Deadlines vary; therefore, it is encouraged that you apply early."
http://www.fastweb.com/college-scholarships/scholarships/111206-morton-a-gibson-memorial-scholarship,Morton A. Gibson Memorial Scholarship,Jewish Social Service Agency of Metropolitan Washington,"$2,500",Varies,"The Morton A. Gibson Memorial Scholarship is available to Jewish high school seniors from the Washington metropolitan area.  To be eligible, you must be a U.S. citizen or be working toward citizenship, be accepted into an accredited four-year undergraduate program on a full-time basis, and demonstrate financial need.  You must also demonstrate significant volunteer services within the local Jewish community."
http://www.fastweb.com/college-scholarships/scholarships/39174-malcolm-r-stacey-memorial-scholarship,Malcolm R. Stacey Memorial Scholarship,"University of California, San Diego","$2,000",Varies,"The Malcolm R. Stacey Memorial Scholarship is open to continuing students attending the University of California, San Diego.  Priority is given to the following students in the following order:  undergraduate Jewish students who are orphans and are preparing for graduate study in aeronautical engineering; undergraduate Jewish students in the field of aeronautical engineering; Jewish students majoring in engineering; and Jewish students in any field of study."
http://www.fastweb.com/college-scholarships/scholarships/29653-jacob-rassen-memorial-scholarship,Jacob Rassen Memorial Scholarship,Jewish Family and Children's Services,"$1,900",Varies,"The Jacob Rassen Memorial Scholarship is available to Jewish students who are 22 years of age or younger for an Israel study trip.  You must demonstrate financial need and be a resident of San Francisco, San Mateo, Marin or Sonoma counties in California.   Deadlines vary; therefore, it is encouraged that you apply early."
http://www.fastweb.com/college-scholarships/scholarships/111207-max-and-emmy-dreyfuss-jewish-undergraduate-scholarship,Max and Emmy Dreyfuss Jewish Undergraduate Scholarship,Jewish Social Service Agency of Metropolitan Washington,"$4,000",Varies,"The Max and Emmy Dreyfuss Jewish Undergraduate Scholarship is available to Jewish undergraduate students from the Washington metropolitan area.  To be eligible, you must be a U.S. citizen or be working toward citizenship, be accepted into an accredited four-year undergraduate program on a full-time basis, and demonstrate financial need."
http://www.fastweb.com/college-scholarships/scholarships/134854-asian-women-in-business-scholarship,Asian Women In Business Scholarship,Asian Women In Business,"$2,500","October 01, 2015","The Asian Women In Business Scholarship is available to female students of Asian or Pacific Islander ancestry.  You must be enrolled full - time in an accredited four - year undergraduate program in the United States; have a minimum 3.0 GPA; and demonstrate leadership, community service, and / or entrepreneurial achievement to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/93777-auber-westphal-scholarship,Auber Westphal Scholarship,"Union College, Nebraska","$1,400",Varies,"The Auber Westphal Scholarship is open to international students enrolled in the Division of Health Sciences at Union College, Nebraska.  You must have a minimum 3.0 GPA, work on campus throughout the year, and be enrolled full time to qualify for this award.  Preference will be given to students from Southeast Asia and the Orient who are of Junior or Senior standing, however Freshmen and Sophomore students are still eligible."
http://www.fastweb.com/college-scholarships/scholarships/30354-elizabeth-m-humbargar-memorial-scholarship,Elizabeth M. Humbargar Memorial Scholarship,San Joaquin Delta College,$500,Varies,"The Elizabeth M. Humbargar Memorial, Japanese American Citizen League Scholarship is open to a foreign student of Asian descent who is an associate's degree candidate at San Joaquin Delta College.  You must be transferring to a four-year institution and have a minimum 3.0 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/155929-korean-delegation-scholarship,Korean Delegation Scholarship,Virginia Tech - General Scholarships,Varies,Varies,"The Korean Delegation Scholarship is open to undergraduate students attending Virginia Tech.  You must be from a member of Korean Student Association, Korean American StudentAssociation (KASA), Korean Campus Crusadefor Christ, or Korean Christian Fellowship to be eligible for this award.  Selection is based on financial need."
http://www.fastweb.com/college-scholarships/scholarships/153381-korean-leadership-scholarship,Korean Leadership Scholarship,Fuller Theological Seminary,Varies,Varies,"The Korean Leadership Scholarship is available to masters-level students (Americans or Korean nationals) at Fuller Theological Seminary.  You must demonstrate a balance between the ministry of church leadership and human caring to be eligible for this award.  In addition, recipients must show a strong commitment to bridge-building, healing, and serving the community within the church, and must work in a church in the greater Los Angeles area."
http://www.fastweb.com/college-scholarships/scholarships/91912-dongwook-jaeyoung-kichul-sangwon-djks-scholarship,Dongwook-Jaeyoung-Kichul-Sangwon (DJKS) Scholarship,Ohio University,Varies,Varies,The Dongwook-Jaeyoung-Kichul-Sangwon (DJKS) Scholarship is open to students at Ohio University.  You must be a Korean native or of Korean descent to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/29518-dian-and-andy-lopez-scholarship,Dian and Andy Lopez Scholarship,"University of Minnesota, Morris",Varies,Varies,"The Dian and Andy Lopez Scholarship is available to third- year computer science majors at the University of Minnesota, Morris.  You must have a minimum GPA of 3.0 to be eligible for this award.  Preference is given to students of color, female students and international students of color."
http://www.fastweb.com/college-scholarships/scholarships/27123-korean-endowment-tcc,Korean Endowment - TCC,Tacoma Community College,Varies,Varies,"The Korean Endowment is available to students at Tacoma Community College.  You must be of Korean descent, have a minimum GPA of 3.0 and be from Pierce County to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/163601-the-daniel-kim-scholarship,The Daniel Kim Scholarship,Azusa Pacific University,Varies,Varies,The Daniel Kim Scholarship is available to Korean students at Azusa Pacific University's School of Theology.  You must be enrolled in master’s theology program to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/78856-sarah-kim-scholarship,Sarah Kim Scholarship,Southwestern Law School,Varies,Varies,The Sarah Kim Scholarship is open to students of Korean descent at Southwestern University School of Law.  You must demonstrate financial need to qualify for this award.
http://www.fastweb.com/college-scholarships/scholarships/90540-rixio-medina-and-associates-hispanics-in-safety-scholarship,Rixio Medina and Associates Hispanics in Safety Scholarship,American Society of Safety Engineers,"$4,000","December 01, 2015",The Rixio Medina and Associates Hispanics in Safety Scholarship is available to students pursuing degrees in occupational safety and health or a related field.  You must be bilingual (Spanish - English) to be eligible for this award.  Preference is given to Hispanic students and students at ABET- accredited schools.
http://www.fastweb.com/college-scholarships/scholarships/61302-hispanic-scholarship-csu-stanislaus,Hispanic Scholarship - CSU Stanislaus,"California State University, Stanislaus","$3,000",Varies,"The Hispanic Scholarship is available to full-time students at California State University, Stanislaus.  You must have at least one parent of Mexican, Puerto Rican, Caribbean, Central or South American heritage, be a resident of California and have a minimum 3.0 GPA to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/154446-hispanic-heritage-youth-award,Hispanic Heritage Youth Award,Hispanic Heritage Foundation,"$1,000","September 15, 2015","The Hispanic Heritage Youth Award is available to high school juniors of Hispanic / Latino descent.  You must have a minimum 3.0 GPA to be eligible for this award.  You or one of your parents must be able to directly trace your ancestry to Latin America, Spain, Portugal, Brazil, the Spanish speaking Caribbean, or the Philippines."
http://www.fastweb.com/college-scholarships/scholarships/30426-jane-frances-valtierra-memorial-scholarship,Jane Frances Valtierra Memorial Scholarship,San Joaquin Delta College,$500,Varies,"The Jane Frances Valtierra Memorial Scholarship is available to incoming freshmen at San Joaquin Delta College.  You must be a graduating senior from Edison high school and be of Mexican-American descent, demonstrate financial need, submit a letter of recommendation and maintain full-time status to be considered for this award.  An additional award will be available to students who plan on majoring in nursing."
http://www.fastweb.com/college-scholarships/scholarships/30424-trujillo-chemistry-award,Trujillo Chemistry Award,San Joaquin Delta College,$250,Varies,"The Trujillo Chemistry Award is available to students at San Joaquin Delta College.  The Achievement Award is available to students who, through outstanding commitment and perseverance, have overcome obstacles and achieved great progress in chemistry.  The Hispanic Student Award is available to Hispanic chemistry students who have a minimum 3 GPA.  Additionally, you must be enrolled in at least nine units and be taking or have completed Chemistry 1A or 1B to be eligible for either award."
http://www.fastweb.com/college-scholarships/scholarships/29518-dian-and-andy-lopez-scholarship,Dian and Andy Lopez Scholarship,"University of Minnesota, Morris",Varies,Varies,"The Dian and Andy Lopez Scholarship is available to third- year computer science majors at the University of Minnesota, Morris.  You must have a minimum GPA of 3.0 to be eligible for this award.  Preference is given to students of color, female students and international students of color."
http://www.fastweb.com/college-scholarships/scholarships/134314-sociedad-mutalista-ignacio-zaragoza-scholarship,Sociedad Mutalista Ignacio Zaragoza Scholarship,Pueblo Community College,Varies,Varies,"The Sociedad Mutalista Ignacio Zaragoza Scholarship is available to full-time students at Pueblo Community College.  You must be a resident of Pueblo County, have a minimum GPA of 2.5 and be of Mexican descent to qualify for this award.  An essay and two letters of recommendation must also be submitted."
http://www.fastweb.com/college-scholarships/scholarships/109224-noaa-and-minority-serving-institutions-scholarship,NOAA and Minority Serving Institutions Scholarship,National Oceanic and Atmospheric Administration,Varies,Varies,"The National Oceanic and Atmospheric Administration Educational Partnership Program with Minority Serving Institutions Scholarship is available to juniors and seniors at a minority serving institution.  You must be pursuing a degree in an area related to the National Oceanic and Atmospheric Administration and have a minimum GPA of 3.0 to be considered for this award.  This award provides tuition and fees, internship stipend, and housing allowance for two years."
http://www.fastweb.com/college-scholarships/scholarships/32136-juan-franco-and-serratos-memorial-scholarship,Juan Franco and Serratos Memorial Scholarship,Santa Monica College,Varies,Varies,The John Franco and Serratos Memorial Scholarship is available to students at Santa Monica College.  You must be of Mexican-American heritage and have at least a 3.2 GPA.  You must also demonstrate financial need to be eligible for this award.
http://www.fastweb.com/college-scholarships/scholarships/30692-spanish-american-organization-scholarship,Spanish American Organization Scholarship,Owens Community College,Varies,Varies,"The Spanish American Organization Scholarship is open to students at Owens Community College.  You must be of Latino heritage or have at least one parent of Latino heritage and be enrolled in at least 12 credit hours each semester.  Additionally, you must be a resident of Lucas or Wood County and have a minimum 2.0 GPA to be eligible for this award."
