SholarShip_Page URL,Scholarship URL,Scholarship,School URL,School Name,Deadline,Amount,SAT,GPA,Majors,Website,Description
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/41012E7F-E6D1-9B38-21109C2E78813DE9,Richard Matthews Scholarship,http://www.scholarshipmonkey.com/school/194310,Pace University-New York,Varies,Varies,,3,Accounting/Finance,http://www.pace.edu,"Scholarship for freshmen attending Pace University (NYC, PLV, or WP campuses) who are majoring in Accounting, Finance or Management.  Applicants must have a minimum 3.0 GPA, financial need, and be U.S. citizens/permanent residents.  Deadlines and award amounts may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/41007B7F-FCC0-2191-D54ABEF759647244,Citigroup Fellows Program,http://www.scholarshipmonkey.com/school/,,April 30th,"$6,400.00",,3,"Accounting/Finance, Business",http://www.uncf.org,"Scholarship for second semester freshmen attending a UNCF member college or university majoring in Business Management, Accounting, Finance, Economics or Information Technology and planning a career in financial services.  Applicants must be a U.S. citizen, have a minimum 3.2 GPA, have financial need, and leadership ability."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/41005253-0451-103E-B146130335733DC5,AEGON TransAmerica Foundation Scholarship in Business,http://www.scholarshipmonkey.com/school/153603,Iowa State University,Varies,Varies,,,"Accounting/Finance, Business, Computer/Information Sciences",http://www.iastate.edu,"Scholarship for undergraduate students enrolled full-time at Iowa State University College of Business majoring in Accounting, Finance, or Management Information Systems.  Deadlines and award amounts may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/4100B996-BC7A-FA2D-F481F7C32DE8A1FD,Greenville Society for Human Resource Management Walter L. Martin Memorial Scholarship,http://www.scholarshipmonkey.com/school/,,February 26th,Varies,,3,Accounting/Finance,http://www.scholarshipprograms.org,"Scholarship for minority undergraduate or graduate students enrolled full-time at an accredited postsecondary institution majoring in Accounting, Finance, Taxation, or related field.  Students must have a minimum 3.3 GPA and be U.S. citizens/permanent residents.  Applicants must be pursuing the CPA credential.  Number of awards and award amount may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/41006130-9FED-0013-6924B119B1534B62,Association of Latino Professionals in Finance & Accounting Scholarship,http://www.scholarshipmonkey.com/school/198729,James Sprunt Community College,April 30th,Varies,,,Accounting/Finance,http://www.unt.edu,"Scholarship for Latino undergraduate and graduate students attending the University of North Texas full-time, majoring in Accounting, Finance or IT.  Number of awards and award amount varies."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/4100534E-08D3-9D5D-75BA9124A1893C0E,AICPA Scholarship for Minority Accounting Students,http://www.scholarshipmonkey.com/school/,,March 6th,Varies,,3,Accounting/Finance,http://www.scholarshipprograms.org,"Scholarship for minority undergraduate or graduate students enrolled at an accredited postsecondary institution in the US majoring in Accounting, Finance, Taxation or a related field.  Students must have a minimum 3.3 GPA, be U.S. citizens/permanent residents, and be pursuing the CPA credential.  Number of awards and award amount may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410109E2-CAD8-116C-DD664E402B0E5B5C,Ocean Bank Graduate Scholarship,http://www.scholarshipmonkey.com/school/133951,Florida International University,April 16th,"$2,500.00",,3,Accounting/Finance,http://www.fiu.edu,"Scholarship for African-American undergraduate or graduate students enrolled part- or full-time at Florida International University majoring in Accounting, Finance, or Human Resources.  Students must have a minimum 3.0 GPA and be U.S. citizens/permanent residents.  A resume and an essay must be included with application packet."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/4100AA4D-A093-5B6A-ECF99FB6E7AB50AB,Ford Motor Company Fund Scholarship,http://www.scholarshipmonkey.com/school/138947,Clark Atlanta University,March 1st,Varies,1000,3,"Accounting/Finance, Advertising/Marketing, Business, Computer/Information Sciences, Engineering, Mathematics/Statistics",http://www.cau.edu,"Scholarship for undergraduate or graduate students enrolled full-time at Clark Atlanta University majoring in Computer Science, Engineering, Mathematics, Accounting, Finance, Marketing, International Business, General Mangement and Entrepreneurial Opportunities, Human Resources, or Public Administration.  Students must have a minimum 3.2 CGPA, a minimum 1000 SAT score or a minimum 24 ACT score.  Number of awards and award amount may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/4100E215-DAFB-79BD-47D413363CB1876E,Key Bank Foundation Scholarship,http://www.scholarshipmonkey.com/school/230764,University of Utah,Varies,Varies,,,Accounting/Finance,http://financialaid.utah.edu/scholarships/,"Annual award for Utah resident who is an undergraduate senior student attending the University of Utah full-time, majoring in Accounting, Finance or Management.  Applicant must have academic achievement and community involvement.  Due date and award amount varies."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41014DA3-9475-332C-53021CBBB46E8462,Tri-State AMP (Advertising Marketing Professionals) Scholarship,http://www.scholarshipmonkey.com/school/157401,Murray State University,February 1st,Varies,,3,"Advertising/Marketing, Communications/Public Relations",http://www.murraystate.edu,"Scholarship for sophomores, juniors, or seniors attending Murray State University who are majoring in Advertising or Marketing Communications.  Applicants must have completed at least 75 credit hours, have a minimum 3.0 GPA, and be active in a club related to advertising/marketing.  Number of awards and award amount may vary.  Nonrenewable."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/410121B0-B657-EE65-9A97AAFE8D662EB6,William E. Gregory Scholarship,http://www.scholarshipmonkey.com/school/132903,University of Central Florida,December 2nd,"$2,000.00",,3,"Advertising/Marketing, Communications/Public Relations, Graphic Arts/Design",http://www.ucf.edu,"Scholarship for undergraduate students enrolled full-time at the University of Central Florida majoring in Advertising, Marketing, Graphic Design, or Communications.  Students must have a minimum 3.0 CGPA.  Number of awards may vary."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41008928-0BB4-646E-F56DA81C4373D9FE,DeAnn White Scholarship Fund,http://www.scholarshipmonkey.com/school/,,Varies,Varies,,,"Advertising/Marketing, Broadcasting, Communications/Public Relations, Journalism",http://www.philafound.org,"Scholarship for Pennsylvania residents who are full-time undergraduate students enrolled full-time at Temple University majoring in Mass Media, Journalism, Public Relations, Advertising, Marketing, or Radio and Television Broadcasting.  Deadlines and award amounts may vary."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/4100ADC1-BBFF-E7E0-20C5706785E20853,Fred G. Wade Scholarship,http://www.scholarshipmonkey.com/school/,,April 15th,"$2,000.00",,,Advertising/Marketing,http://www.sacadclub.com,"Scholarship for college juniors or seniors enrolled at a postsecondary institution in the Sacramento, Stockton, Modesto, Chico, Yuba City, Davis or Quincy, California areas majoring in Advertising, Marketing, or Communication.  An interview is required.  Number of awards may vary."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/4101451A-A5FD-4F93-3D7D9878DA0420EC,Student Scholarship Program,http://www.scholarshipmonkey.com/school/,,April 11th,"$1,000.00",,,"Advertising/Marketing, Business, Communications/Public Relations, Journalism",http://www.bmacolorado.org,"Scholarship for Business Marketing Association (BMA) members who are undergraduate or graduate students enrolled full-time at a college or university in Colorado and are pursuing a minor or major in Advertising, Marketing, Business Journalism, or Communications.  Students must obtain a recommendation from a faculty member.  Number of awards may vary.  An essay must be submitted with application packet."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41008FCD-D594-1B14-61D285C833310896,Diversity Scholarship,http://www.scholarshipmonkey.com/school/,,April 13th,$750.00,,,"Advertising/Marketing, Communications/Public Relations, Graphic Arts/Design, Photography/Video/Film",http://www.mbcamp.com,"Annual award for minority undergraduate students enrolled part- or full-time at a postsecondary institution in Florence, Georgetown, or Horry County, South Carolina, or Brunswick, New Hanover, Robeson, or Columbus County, North Carolina.  Students must major in an advertising related field such as Advertising, Marketing, Communications, Public Relations, Graphic Design or Photography.  A portfolio and an essay must be included with application packet.  Nonrenewable."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005E64-D538-EAAF-B1C780328F1BE8DD,Ariadne Sophia Strutton Scholarship in Marketing,http://www.scholarshipmonkey.com/school/198729,James Sprunt Community College,Varies,Varies,,,Advertising/Marketing,http://www.unt.edu,"Scholarship for undergraduate and graduate students attending the University of North Texas full-time, majoring in Marketing.  Selection based on academic excellence, merit, professionalism and financial need.  Submit one-page essay with career goals and 2 academic plus 2 non-academic letters of reference with application packet.  Due date, exact number of awards and award amount varies."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005DA6-B948-3F51-ECCDD2861A504AD4,Anthony E. Cascino Memorial Scholarship,http://www.scholarshipmonkey.com/school/167996,Stonehill College,Varies,Varies,,,Advertising/Marketing,http://www.stonehill.edu,Scholarship for undergraduate students attending Stonehill College who are majoring in Marketing.  Selection based on academic achievement and financial need.  Deadlines and award amounts may vary.
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005D93-9C6C-4834-8CA678BBC4AB3682,Anson & Esther Sollner Endowment Scholarship for Theatre Arts,http://www.scholarshipmonkey.com/school/155681,Pittsburg State University,February 1st,Varies,,,"Advertising/Marketing, Broadcasting, Communications/Public Relations, Drama/Theatre Arts, Journalism",http://www.pittstate.edu,"Scholarship for undergraduate students attending Pittsburg State University in Kansas, majoring in Communication Studies, Advertising, Broadcasting, Public Relations, Theatre, Journalism, News Editorial Track or Photojournalism.  Number of awards and award amount varies."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005D92-E965-AD56-FAF3E7AF21D4AB14,Anson & Ada May Yeager Scholarship,http://www.scholarshipmonkey.com/school/219356,South Dakota State University,Varies,Varies,,,"Advertising/Marketing, Broadcasting, Communications/Public Relations, Journalism",http://www.sdstate.edu,"Scholarship for undergraduate students attending South Dakota State University in Brookings, South Dakota, majoring in Advertising, Communications, Journalism or Broadcasting.  Due date, number of awards and award amount varies."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005D2F-FCF9-42AA-7414D75BDBB07AB5,Annual Scholarship Awards Program,http://www.scholarshipmonkey.com/school/,,March 27th,"$1,000.00",,,"Advertising/Marketing, Interior Design",http://www.homefashionproducts.com,Scholarship for undergraduate (freshmen ineligible) students enrolled at an accredited postsecondary institution majoring in Textile/Marketing or Surface Design.  Students enrolled in apparel textile design or interior design are NOT eligible.  An interview is required.  Number of awards may vary.  An essay must be included with application packet.
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005CAC-B189-0010-D86F556B7B803A0A,Anne Clapper Scholarship,http://www.scholarshipmonkey.com/school/,,April 18th,Varies,,,"Advertising/Marketing, Communications/Public Relations, Graphic Arts/Design, Journalism",http://www.awcgreenville.org,"Scholarship for undergraduate students pursuing studies in a Communications field such as, Print or Broadcast Journalism, Public Relations, Advertising, Graphic Design, or other communications-related fields.  Number of awards and award amount may vary."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/4100D858-F2FA-5DF5-A3798E737CB32036,John L. & Rita M. Bangs Scholarship,http://www.scholarshipmonkey.com/school/179566,Missouri State University,March 1st,"$2,000.00",,,"Advertising/Marketing, Business",http://www.missouristate.edu,"Annual award for undergraduate or graduate student attending Missouri State University full-time, majoring in Business Administration.  Preference given to Computer Information Systems and/or Marketing majors.  Preference also given to academically talented students who may qualify for, but have not been selected for a Presidential scholarship.  Financial need is not necessary.  Renewable; must reapply."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005BF1-B386-37A8-401E9771A5555069,Ann Arbor Ad Club Scholarship,http://www.scholarshipmonkey.com/school/,,Varies,"$1,000.00",,3,"Advertising/Marketing, Communications/Public Relations, Journalism",http://www.aaacf.org,"Scholarship for residents residing in the area serviced by A2AC (Ann Arbor Ad Club) who are undergraduate or graduate students majoring in Advertising, COmmunications, Public Relations, Markenting or Journalism.  Applicants must have a minimum 3.0 GPA  Due date may vary."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005B7A-0710-25A6-FD5113C9C9B0F981,Andrew S. Friend Family Annual Scholarship,http://www.scholarshipmonkey.com/school/227243,Northwood University,Varies,Varies,,,Advertising/Marketing,http://www.northwood.edu/,"Scholarship for undergraduate students enrolled full-time at Northwood University-Michigan majoring in Advertising.  Students must demonstrate financial need, academic achievement, and be U.S. citizens.  Deadlines and award amounts may vary."
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005B0F-B506-9644-887228AE1E97EDFA,ANA Multicultural Excellence Scholarship,http://www.scholarshipmonkey.com/school/,,Varies,"$2,000.00",,3,Advertising/Marketing,http://www.aaaa.org,Scholarship for college seniors enrolled full-time at an accredited postsecondary institution in the US.  Students must have a minimum 3.0 GPA and be enrolled in an American Association of Advertising Agencies (AAAA) Intern Program.  Due date may vary.
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/4100D837-DDA9-1C27-CC21A168521D7BD6,John Jay Tavlan Scholarship,http://www.scholarshipmonkey.com/school/110556,California State University-Fresno,Varies,Varies,,3,"Advertising/Marketing, Business",http://www.csufresno.edu,Scholarship for Lambda Chi members who are undergraduate or graduate students enrolled full-time at California State University-Fresno Craig School of Business.  Students must have a minimum 3.5 GPA.  Preference given to Marketing majors.  Deadlines and award amounts may vary.
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/41005AA5-C645-8DDD-11A63F57ED34AC9A,Amoco Production Company Scholarship,http://www.scholarshipmonkey.com/school/222831,Angelo State University,Varies,Varies,,3,"Advertising/Marketing, Business",http://www.angelo.edu,Scholarship for college juniors or seniors enrolled full-time at Angelo State University College of Business Management and Marketing Department majoring in Business.  Students must have a minimum 3.0 GPA.  Deadlines and award amounts may vary.
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/410059FB-91E5-9A3C-474BE9BF4F0B58D2,American Marketing Association Scholarship,http://www.scholarshipmonkey.com/school/197869,Appalachian State University,Varies,Varies,,3,Advertising/Marketing,http://psp.appstate.edu/,Scholarship for American Marketing Association members who are undergraduate students enrolled full-time at Appalachian State University majoring in Marketing.  Students must have a minimum 2.8 GPA and participate in extracurricular activities.  Consideration given to financial need.  Deadlines and award amounts may vary.
http://www.scholarshipmonkey.com/list?list=Advertising%20Marketing,http://www.scholarshipmonkey.com/scholarship/410059FA-B5FA-29C5-B9F118D72D7589A6,American Marketing Association Out-standing Marketing Student Awards,http://www.scholarshipmonkey.com/school/147244,Millikin University,Varies,Varies,,,Advertising/Marketing,http://www.millikin.edu,Scholarship for undergraduate students attending Millikin University pursuing studies in Marketing.  Awards are based on achievement in the field of marketing.  Deadlines and award amounts may vary.
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/4100D876-AD08-624F-EA9CB416BED2D397,John Leland Atwood Graduate Award,http://www.scholarshipmonkey.com/school/,,January 31th,"$10,000.00",,3,"Aeronautics/Flight Training, Dance/Choreography, Engineering",http://www.aiaa.org,"Scholarship for graduate students enrolled at an accredited postsecondary institution majoring in Science or Engineering which encompasses the technical activities of the American Institute of Aeronautics and Astronautics (AIAA).  Students must have a minimum 3.3 GPA, be conducting approved research associated with specific disciplines such as, propulsion, aviation, propellants and combustion, or guidance, navigation, and control, and become AIAA members before receiving award.  Number of awards may vary.  An essay must be included with application packet.  Nonrenewable; recipients may reapply."
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/410059DC-00AB-4025-03400C0D560E5969,"American Institute of Aeronautics & Astronautics, Vandenburg Section",http://www.scholarshipmonkey.com/school/112516,National Polytechnic College of Science,March 2nd,$300.00,,,"Aeronautics/Flight Training, Aerospace Technology, Engineering",http://www.calpoly.edu,Scholarship for juniors or seniors attending California Polytechnic State University who are majoring in Aerospace Engineering.  Applicants must be student members of the American Institute of Aeronautics & Astronautics.  It is recommended that applicants file the FAFSA as most awards are need based.  Number of awards and award amount may vary.  Nonrenewable.
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/4100D71F-0D66-7C3F-9FDF1FF225DBDABE,"John E. Godwin, Jr. Memorial Scholarship",http://www.scholarshipmonkey.com/school/,,November 29th,"$2,500.00",,,"Aeronautics/Flight Training, Medicine",http://www.nata.aero,"Scholarship for flight training for any pilot certificate and/or flight rating issued by the Federal Aviation Administration at any NATA member company offering flight training.  Applicant must be a minimum of 18 years of age; be nominated by a representative of a Regular or Associate Member Company of the NATA, have a Student Pilot Certificate (or higher) with a Third Class Medical Certificate and can qualify for a Second Class Medical Certificate; and show commitment to General Aviation.  Membership in good standing in the Civil Air Patrol will be given extra consideration.  Students must be in active pursuit of training for their license and/or rating, accumulate a minimum of fifteen dual or solo flight hours each calendar month, and receive a log book endorsement for the Chief Flight Instructor certifying satisfactory achievement for each training stage check.  Award is given in two payments of $1,250.  Application is available for download on the Foundation's website."
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/41014C91-C2F4-9D33-95132D7D38AAC77B,Tom Taylor Memorial Scholarship to Spartan School of Aeronautics,http://www.scholarshipmonkey.com/school/,,Varies,Varies,,,Aeronautics/Flight Training,http://www.aea.net,"Scholarship for undergraduate students enrolled at Spartan School of Aeronautics in Tulsa, Oklahoma pursuing studies in Applied Science or Aviation Maintenance Technology (AMT).  Students currently enrolled in an avionics program are not eligible.  Due date and number of awards may vary."
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/410090E7-EDC7-1F92-B4E704C5D8FB7955,Donald C. & Marion E. Currier Scholarship,http://www.scholarshipmonkey.com/school/243780,Purdue University-Main Campus,June 15th,Varies,,3,"Aeronautics/Flight Training, Engineering, Mechanical Engineering",http://www.cfsjc.org,"Annual award for St. Joseph County, Indiana residents that have been accepted into the School of Mechanical Engineering, Industrial Engineering, or Aeronautics & Astronautics at Purdue University.  Applicant must have a minimum 3.0 GPA.  Selection is based on academic performance and merit.  Award amount varies."
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/410085BF-EE74-590C-DCCE1708AB817809,Daniel Alksne Memorial Scholarship,http://www.scholarshipmonkey.com/school/122755,San Jose State University,Varies,Varies,,,"Aeronautics/Flight Training, Engineering",http://www.sjsu.edu,Scholarship for undergraduate students enrolled full-time at San Jose State University College of Engineering.  Preference given to students pursuing studies in aeronautics.  Deadlines and award amounts may vary.
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/41008582-9CF8-0F2A-4AE206DA3DB31E01,"Dan L. Meisinger, Sr. Memorial Scholarship",http://www.scholarshipmonkey.com/school/,,November 29th,"$2,500.00",,,Aeronautics/Flight Training,http://www.nata.aero,"Scholarship for undergraduate students currently enrolled in an Aviation Program pursuing courses in initial or primary flight training.  Preference given to residents of Illinois, Kansas, or Missouri.  Applicant must have a minimum B average and a recommendation from an aviation professional.  Application is available for download on the Foundation's website.  Student must include a $5 non-refundable application fee, payable to NATF."
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/4101419F-D4E7-66E7-A19DEE49C0A13884,Spartan School of Aeronautics,http://www.scholarshipmonkey.com/school/,,Varies,"$2,500.00",,,Aeronautics/Flight Training,http://level2cap.gov,"Scholarship for current CAP cadets enrolled at Spartan School of Aeronautics in Tulsa, Oklahoma.  Due date may vary."
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/4101419E-E7A1-140F-04AA3E5765D21804,Spartan School of Aeronautics Aviation Explorer Scholarship Program,http://www.scholarshipmonkey.com/school/,,March 31th,"$2,000.00",,,Aeronautics/Flight Training,http://www.learning-for-life.org/exploring,"Scholarship for Aviation Explorer members who are undergraduate students enrolled at the Spartan School of Aeronautics pursuing a career as a Professional Pilot, Aviation Maintenance Technician, Avionics Technician, or Aviation Instrument Technician.  An essay and a photo must be included with application packet."
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/41011441-B084-3B9A-187F0C804472D41C,Pittsburgh Institute of Aeronautics Scholarship,http://www.scholarshipmonkey.com/school/,,November 17th,Varies,,,Aeronautics/Flight Training,http://www.awam.org,Scholarship for female Association for Women in Aviation Maintenance (AWAM) members who are undergraduate students enrolled at the Pittsburgh Institute of Aeronautics majoring in Aviation Maintenance Technology (AMT) or Aviation Electronics Technology (AET).  Students must be pursuing a career in aviation maintenance.  Award amount may vary.  An essay must be included with application packet.
http://www.scholarshipmonkey.com/list?list=Aeronautics%20Flight%20Training,http://www.scholarshipmonkey.com/scholarship/41010E01-D3B1-33C5-2D9B5E25C2CCC635,Parrott Family Scholarship,http://www.scholarshipmonkey.com/school/,,January 30th,"$1,000.00",,,Aeronautics/Flight Training,http://www.mdt.state.mt.us,"Annual award for Montana residents for pilot training programs at the Rocky Mountain College (RMC) aviation program.  Award may be used for tuition in the RMC aviation program, and/or flight training expenses leading to a Private, Commercial, or Flight Instructor Certificate.  Selection will be based on letter explaining reasons for applying, future career goals, past aviation experience and any outstanding achievements.  Number of awards varies."
