URL,Title,Address,Classes,Eats and Treats,Places,Birthdays,Hours,Phone,Website,Mail ID,Facebook Link,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/paradise-bakery-chandler-a6/,Paradise Bakery,"2855 West Ray RoadChandler, AZ 85224",,Bakeries,,,"MON-FRI: 7:00 AM-8:00 PM, SUN: 7:00 AM-6:00 PM",480-899-0121,http://www.paradisebakery.com/store_indiv.php?stid=68,CN235@abc.com,,"Everyone loves Paradise! Each Paradise Bakery & Cafe combines a casual, feel-good environment with the freshest, quality ingredients made from scratch for each item on our menu. Stop in today and enjoy our sandwiches, salads, soups, muffins, and--of course--our award winning cookies.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/paradise-bakery-chandler-8f/,Paradise Bakery,"940 North 54th StreetChandler, AZ 85226",,Bakeries,,,"MON-SAT: 7:00 AM-9:00 PM, SUN: 7:00 AM-6:00 PM",480-305-6994,http://www.paradisebakery.com/store_indiv.php?stid=63,CN236@abc.com,,"Everyone loves Paradise! Each Paradise Bakery & Cafe combines a casual, feel-good environment with the freshest, quality ingredients made from scratch for each item on our menu. Stop in today and enjoy our sandwiches, salads, soups, muffins, and--of course--our award winning cookies.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/paradise-bakery-chandler-87/,Paradise Bakery,"2970 East Germann RoadChandler, AZ 85249",,Bakeries,,,"MON-FRI: 7:00 Am-9:00 PM, SUN: 7:00 AM- 7:00 PM",(480) 751-6235,http://www.paradisebakery.com/store_indiv.php?stid=54,CN232@abc.com,,"Everyone loves Paradise! Each Paradise Bakery & Cafe combines a casual, feel-good environment with the freshest, quality ingredients made from scratch for each item on our menu. Stop in today and enjoy our sandwiches, salads, soups, muffins, and--of course--our award winning cookies.
",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/phoenix-cake-company-gilbert-49/,Phoenix Cake Company,"1034 N. Gilbert Rd.Gilbert, AZ 85234",,Bakeries,,,"10-6 PM Monday- Saturday, Closed Sunday",480-824-1986,http://www.phoenixcakecompany.com,info@phoenixcakecompany.com,,"Family owned and operated, this cake company has cakes and goodies  of every kind. Christy Vega-Gluch has appeared on TLC's Ultimate Cake Off and is known for her versatility in cake design.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/starbucks-chandler-ca/,Starbucks,"4970 South Gilbert RoadChandler, AZ 85249",,"Bakeries, Restaurants",,,"SUN: 5:30 AM-8:00 PM, MON-SAT: 4:30 AM-9:00 PM",480-895-0034,http://www.starbucks.com,CN246@abc.com,,Gourmet coffee with drive through.,0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/starbucks-chandler-e5/,Starbucks,"1395 South Arizona AvenueChandler, AZ 85286",,"Bakeries, Restaurants",,,"SUN: 5:00 AM-10:00 PM, MON-SAT: 4:30 AM- 10:00 PM",480-857-2410,http://www.starbucks.com,CN247@abc.com,,Gourmet coffee with drive through.,0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/sweet-daddy-cupcakes-chandler-96/,Sweet Daddy Cupcakes,"1055 S Arizona AveChandler, AZ 85286",,Bakeries,,,MON-SAT:11:00 AM-7:00 PM,480-855-3334,http://Mon-Sat 11 am - 7 pm,info@sweetdaddycupcakes.com,,"Sweet Daddy Cupcakes is devoted to making you the Perfect Cupcake. With a focus on pure ingredients like Real Vanilla Beans, Pure Cocoa and Dark Chocolate, we?re giving Cupcake Lovers something to sink their teeth into besides straight sugar (although we have some of that, too!).",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/top-it-cupcakes-gilbert-51/,Top It Cupcakes,"1030 South Gilbert RoadGilbert, AZ 85296",,Bakeries,,,,480-507-2253,http://topitcupcakes.com/about/,info@topitcupcakes.com,,,0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/caketini-gilbert-8e/,Caketini,"2270 East Williams Field RoadGilbert, AZ 85295",,"Bakeries, Candy",,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 786-3500,http://caketini.net/,info@caketini.net,,"If you're in the mood for a new sweet treat this holiday season, think outside the box--or in this case-- the pie tin.  A nice alternative to that holiday staple is Caketini's unique cupcakes, gourmet cakes, cheesecakes, and truffles.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/fuzziwig-s-candy-factory-chandler-40/,Fuzziwig's Candy Factory,"3499 Chandler BoulevardChandler, AZ 85226",,Candy,,,,480-726-2953,http://www.fuzziwigscandyfactory.com/,info@fuzziwigs.com,,Fuzziwig's Candy Factory is loaded with yummy treats.  Your visit will be sure to be Sweet!,0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Candy-Stores.jpg
http://hulafrog.com/chandler-az/see-s-candies-chandler-5a/,See's Candies,"3111 West Chandler BoulevardChandler, AZ 85226",,Candy,,,"MOM-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",480-726-2825,http://www.sees.com/index.cfm,SeesCandiesCustomerCare@sees.com,,"Throughout the history of See's Candies, Mary See has symbolized the old-fashioned virtues of homemade quality and friendly service. The spectacled, silver haired woman still smiles with pride from candy boxes shipped throughout the world, and her original recipes are savored by millions to this day. 

",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Candy-Stores.jpg
http://hulafrog.com/chandler-az/sweeties-candy-of-arizona-chandler-7a/,Sweeties Candy of Arizona,"1050 West Chandler BoulevardChandler, AZ 85224",,Candy,,,"MON-SAT: 9:00 AM-7:00 PM, SUN: closed",(480) 899-4252,http://www.sweetiescandyaz.com,mike@sweetiescandyaz.com,,"Sweeties Candy of Arizona! Arizona's SWEETEST and LARGEST candy store!  Nostalgia is our middle name. Thought it was gone? Take a stroll down memory lane and bring back your favorite childhood memories. If your favorite candy is still being manufactured, chances are that Sweeties Candy has it. We search high and low for all the old time favorites. 
",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Candy-Stores.jpg
http://hulafrog.com/chandler-az/sweetreats-tempe-77/,SweeTreats,"Various LocationsTempe, AZ 85284",,Candy,,,Hours vary per location,602-740-8877,http://www.sweetreatsaz.com/index.html,email@sweetreatsaz.com,,"Sweet treats candy has homemade toffee, peanut brittle and other candies. Made with the desire to be the best, your valentine will love it!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Candy-Stores.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/some-burros-chandler-chandler-53/,Some burros - Chandler,"3461 W Frye RdChandler, AZ 85226",,"Drive, Restaurants",,,"Sun-Thu 9am-9pm, Fri & Sat 9am-10pm",480-726-TACO,http://,ACruz@someburros.com,https://www.facebook.com/Someburros,"Opened in 1986 in Tempe, Someburros has been serving delicious Mexican Food ever since. All six locations- 4 in the East Valley, 1 in North Scottsdale and the newest location in Flagstaff- are owned and operated by the Vasquez family. Together with many long-time employees, Someburros works hard to provide customers with excellent food made from Nana's original recipes plus quick and friendly service. The Vasquez family is committed to maintaining the quality and consistency that was established more than 35 years ago!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Drive-Thru-and-Delivery.jpg
http://hulafrog.com/chandler-az/some-burros-gilbert-gilbert-4e/,Some burros - Gilbert,"1335 E Baseline RdGilbert, AZ",,"Drive, Restaurants",,,"Sun-Thu 9am-9pm, Fri & Sat 9am-10pm",480-755-TACO,http://www.someburros.com,AVelasquez@someburros.com,https://www.facebook.com/Someburros,"Opened in 1986 in Tempe, Someburros has been serving delicious Mexican Food ever since. All six locations- 4 in the East Valley, 1 in North Scottsdale and the newest location in Flagstaff- are owned and operated by the Vasquez family. Together with many long-time employees, Someburros works hard to provide customers with excellent food made from Nana's original recipes plus quick and friendly service. The Vasquez family is committed to maintaining the quality and consistency that was established more than 35 years ago!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Drive-Thru-and-Delivery.jpg
http://hulafrog.com/chandler-az/some-burros-san-tan-gilbert-73/,Some burros - San Tan,"2597 S. Market St.Gilbert, AZ 85296",,"Drive, Restaurants",,,"Sun-Thu 9am-9pm, Fri & Sat 9am-10pm",480-497-TACO,http://www.someburros.com,RAngulo@someburros.com,https://www.facebook.com/Someburros,"Opened in 1986 in Tempe, Someburros has been serving delicious Mexican Food ever since. All six locations- 4 in the East Valley, 1 in North Scottsdale and the newest location in Flagstaff- are owned and operated by the Vasquez family. Together with many long-time employees, Someburros works hard to provide customers with excellent food made from Nana's original recipes plus quick and friendly service. The Vasquez family is committed to maintaining the quality and consistency that was established more than 35 years ago!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Drive-Thru-and-Delivery.jpg
http://hulafrog.com/chandler-az/some-burros-tempe-tempe-3f/,Some burros - Tempe,"101 E Baseline RdTempe, AZ 85283",,"Drive, Restaurants",,,"Sun-Thu 9am-9pm, Fri & Sat 9am-10pm",480-839-TACO,http://,DBarnes@someburros.com,https://www.facebook.com/Someburros,"Opened in 1986 in Tempe, Someburros has been serving delicious Mexican Food ever since. All six locations- 4 in the East Valley, 1 in North Scottsdale and the newest location in Flagstaff- are owned and operated by the Vasquez family. Together with many long-time employees, Someburros works hard to provide customers with excellent food made from Nana's original recipes plus quick and friendly service. The Vasquez family is committed to maintaining the quality and consistency that was established more than 35 years ago!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Drive-Thru-and-Delivery.jpg
http://hulafrog.com/chandler-az/wildflower-bread-company-chandler-e8/,Wildflower Bread Company,"3111 West Chandler BoulevardChandler, AZ 85226",,Drive,,,"MON-FRI: 7:00 AM-9:00 PM, SAT: 7:00 AM-9:00 PM, SUN: 7:00 AM-6:00 PM",(480) 812-8200,http://www.wildflowerbread.com/,CN257@abc.com,,"We pride ourselves on delivering an outstanding experience for our customers, employees and investors through mutual respect and teamwork.

",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Drive-Thru-and-Delivery.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
